Home Out,Dest In,Dest Out,Home In,Date From,Date To,Price,Duration,Quality,Link
SFO,HND,HND,SFO,2024-03-22,2024-04-01,1574,43.92,1645.83,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c0a614d5c00004fa74475_0%7C0f9c0a614d5c00004fa74475_1%7C0a61097b4d5d000094f2af31_0%7C097b0f9c4d660000958c3600_0%7C097b0f9c4d660000958c3600_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GIv-h8UMAQjGfULoCMDZqU7KeIEf8jxWzlhl6X46NnplaxBJ0xWABmbFUe4BM6Q2mmn-1ENeF_9RwbuJVduIuDP1JedrYluUAN2IhneJ4v3z--t8pSG8t67kKAAg7EPiNtvi7-KZtfxliT13wlJedgdV9NHoPXD3B37zfbmyNZwBgH8NW8w8PSixKqgyqxZXRMrT7yWR1dmxFYms9OH6nrmqGGpn6zds1EvTogDzyXWeOV497Mks4P9liZrxb2hhjGGF8lMohjel9WxGfHE6OAxVbqN0hraiNXCEF9pIqGjOJixov_Z8cIEM0R6XIwopLTOOtJUfYaZKmjEu0zsIJGmLihe909mS6KKO450SgI6OlaQTEsW8F_c_ptfEa5tRs5Ey9X7Yepb59k7kXcNVtDLfiwNqTGNF_xKpn0tFP9ADgxB_T4Zva6gVx6Y5xaor4twr4zYCrkzaFB8y4H1XhjtkYx4REhCCVEcs7gKefM-sTzknH8H43z5MgSEAc3UvW9idBG1geumTkALJKiYzG_5ldAcOanW83FODwJTgY-nxI4bMLICbUv1rH8XsCRDyqj8LLyGNQufUQB0oMOEwERSqDJtHNg89sF4I1PtPykCHTWlGn1G-DVRFnre8QEmN7
SFO,HND,HND,SFO,2024-03-22,2024-04-01,1635,38.0,1647.96,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c17124d5c0000075a89d4_0%7C1712097b4d5d00005df6a769_0%7C097b0f9c4d660000958c3600_0%7C097b0f9c4d660000958c3600_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=Gjo0PdWg6mEzX6xQRGWK2Mu3NWIqHWVZ9al2O1zhFT_XUd3P8ZpSufwWcUI9SmaNrUus1RnbMt0_ZqXIU6KBWkvNqI2O_nXqNjkXhHMfelmBskOZhQ8AjdZ7vg8GoDhYZ4284CIV2HcZAl0NYsMe7WqtazapQWp02PwN9LhKDrM50HbZ655PlhyUc0eHbVy5PkpK48qpXWRViy0SQe-3UZ4ByVV52ca1JR-5UoSPgJyzgv0Nr19U41XpnlCK6TSq0pm07tFa9KZxJLdgAVsQokDO8pNFoUIrdjmK7gtg6W8QS68FVldzC0_SXneth2MKB_RxcKAVYHiSHExgxR6lYcy3WeuU2NE4HOPtfmQlfYHZmzxHPVxK1CoR09YUueGnPDC_rDsP4so72HzRn7iLqnJj-bXlk82U-C6Hc4i3mDZ8p5nsOajHfKn2Cka6fuqpTLgauOMa0il12TVK7RR09EjLykjU0Qy30AZy0_1W6re0HmeMYcBfJS93g3FzumUeSuRPy-M0IMpepgelylWguwteL6KA_pXz_a_rtdJ6ylfrlp020ME125fA_hdQsNA-XpehMoXWCJZIdK-rWgWCTXkn_E2idCME3dfCVm-DMJvK6Gw3TRzPVBmC4SeJiz8-s
SFO,HND,HND,SFO,2024-03-22,2024-04-01,1618,41.42,1661.68,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c09024d5c0000a32b9911_0%7C0f9c09024d5c0000a32b9911_1%7C0902097b4d5d0000f8c6e978_0%7C097b0f9c4d660000958c3600_0%7C097b0f9c4d660000958c3600_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GZi1eTuJ4tKtRu5wZfgz8u5S7zvnzRqHHZX31hEGHbqPGfGqOWdnDTbpI9RoUyKkBzCNhfvG-Bi9DZRLw8wHzvJ2qME5MU7JixtzrDxazeUaFW5rKY7T8m8IM1FbgWfTCdP4PRXMZEt1kfLcHVwySknEHV6x3o-gQFKqXocHYGypIyWZWlVs-Sil1Zw087pUgo-xqwFkI43XRh5dcyrWhBWh5G3RB42ASVQ8EXm3jlx8nXOOiqCThSyrMR_dJZiSGhEELtNVB6Vx1ZoG2nN0On4xQn8xgNdHj3hPeAnD-jLmColCY4MfXyZefd01iEuZk9z0RK7u5_q55AWfiq4OjNnT5rIVLrVopM1VQlyV2sGKzrsh4Rdf9Hxbsi5ODuyxC9MT6wTJnZ0FqoPiiXAsTuLIg58yRYt8LbRrNC_GGk-nwnAWtD_ZxvnyHQawAk_8A8hg8zAHBIV1EEnhFlSQBvBY8-BBZ0_LCeqCNISscUlaPoSi3TLC9tDexDT0HVwOD1GvJPn-Mp6W8heNGUUOm7TQJEYnf3Z3hU33bC6UK2ywrLPSuSAZSk8gIGeEgNx-IkS7RAbjEEM58iUltumX2guyLPyLAONHalU4xR-o0QXR8nWGM5R9xim8ZDsSuehvr
SFO,HND,HND,SFO,2024-03-22,2024-04-01,1597,43.67,1662.81,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c0a614d5c00004fa74475_0%7C0f9c0a614d5c00004fa74475_1%7C0a61097b4d5d000001e13986_0%7C097b0f9c4d660000958c3600_0%7C097b0f9c4d660000958c3600_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=Gl9VRRzs_5mrK16q0VrMR2rCOgWt9tojDluT9ZSKtEGRhGg7dMdVQg5dEXVslqKrFoq2l92MF46gz8bA01GWT5phoSn-QmrpTtn6BnKfibsTh-BAuFbp0Irw3FC5r_rVkXiq0KGR0joHEN6L5Qov-nOpbWGLM--be-t6SyxQ4fP3ZI7kplJKHdz0ulsQWLqIqyOVZOos2YuVcKSSMP0xzcRSuq3GxKp122h1XKAXXVH-xd4ZwN69Dif6vjY8jDwpt6Mpx7iLRIVexQLBL65_uhwVaLrzMVTKkpNQd7be_NRG0TNVFEy_eaIG571I83lirFKnuPcqoKe77uBh4ylBqV_NV2IeH-N-CqCtMWmZBTtAQ5Ua1yiMt-Pj1GL5Imc_pO3N9ZHVlq_E_scOZBwfLA9_OcJ2zZhLsIPQpBT4ub6TAXylq5AnNEW9A8oIMjLW3nQCA-eN-r-oMb1DakVbw0EW_65Jd55xXwRgem0mPR7jHuzAwznX2jldoAt9Zu3GyJMh-xDZ094-WxQV7G-yJwE9tYj5aW_tZnZqgE3LrS5cW846E81CmgG3g6u8r-WvzslQezkq7hBkPe1CYhxLbPnXmCBccjpRodYuwu9aqJm4vOjVk-ozPFn_ALmdLkQcKAHny101XIXrDFX8DNoWWrQ==
SFO,HND,HND,SFO,2024-03-22,2024-04-01,1625,41.08,1664.68,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c17124d5c0000075a89d4_0%7C1712097b4d5e00004ae644d2_0%7C097b0f9c4d660000958c3600_0%7C097b0f9c4d660000958c3600_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GRbwevuAcqkcD73Wwd1bCHXNomx19qvCvEQJ6HvRwfvEhHJKlQwsBmKcilK9VehTv7i_eamt431-opWSG3sm0x_rFbZwY-MjLbzBEb4DN54TVTVlkXHojLQcRUx78lSnSdcxYHHLfXV0pkX0yGjaCVtZC2ann-hwgcECXbXnbjUt006Z5ClOOtMlZJ4v5hcSCW8OqTy3p_g5ZXXILqt8YWgtKr-GvEW5JsjIqE0UmoXV00il9DfIo76Ds4PpCd52sabeLNSfBfSOr2t-Inu61KgKZ4KtB0lrzksCu-oow5OMo794MVme55GadXYazuVQJIkldkon4QLWmDzpUikY_HhtUf1Hcib5sVT23FngrbxS_PDRBAKqHiwzifHm-beVZSc_DEBJ5YonWQNLZLIL7WrIOvkLKIbIKczW5xOyO-R3zecoXGZh6Ia8PiB-WuLbN8g8o1isHa-8alY3bUnFKUUcP_KBjoJlyaOQWX58qZjnSI4Mx83Iisl-qq5KXSPUmhyp6i9rdxtSmUJN9SXlqXSRDM3xVhdSAt_O25y0i2joaJvStwdr1i0ryDNSZwKx0p7ePerzswCR_HCmCBx2LpNPETSKfDrzaTN1WPVcak1k=
SFO,HND,NRT,SFO,2024-03-22,2024-04-01,1559,42.92,1625.61,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c0a614d5c00004fa74475_0%7C0f9c0a614d5c00004fa74475_1%7C0a61097b4d5d000094f2af31_0%7C209f0f9c4d6600002d45be38_0%7C209f0f9c4d6600002d45be38_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=Gc-1uWXyDAwhoSlB_lj-_BOYHQHMtdaNFbeTMLayFmlwLvPeRnIc3Af6stWexzS_c3R2xHuiwxgvmEK04ANAaQCL5J7S2v0aTO6szCiW2Ud37Tunp1OHeP3X4IV9ixmaaiuBXcgnO4BvWuUJHADxFrDI9lp_pc5gjCpbBRbSF1_uInTOiRbC_uTQIZMXApDrtCvXicpxKt3dCFogPQ3U1GKZqYDpVrY1K84xzWOHcIUAgi4x0YtoNUzlfEiz6YPM-fixmueVKdUkpSeBjEmgLb8K5gQtK8e_Y1yMvOz0LPSx6x5gYkk8A-isfJIv0nHtYI9_SpM6ZqxYa6KV6xlk3znejaPGhI1ooWrKDRp0kfSdhdTyZngvXDTqljbnE4-gEE94IVVM7is7uAxb_Nwbg9Q59EgxReN9r_BjLbed0b4jdkfV9NdsIOB8KsEGXRPJsFtuhpT4alojeq3f8UvFvWnPzg1JPHGSu0a0ZihTyIDcaCLz-sXZ5YgIC_lVUa8CnsA5G-Dj-AmL4_H3qcJbXnip0hN_h2IzH-LN_XIgkbU4X2IpCdnlJz9FdsrErUaaaQiPNICUAwwyxYV8d_UWvfGetRaHXualw1o0h_BvfZPUv6X4aQwkp7PeTmqGsWTgfZMwz3cN5NFKbm1BYLI5ypFgiOKYdfJp0Le1oeahAaqI=
SFO,HND,NRT,SFO,2024-03-22,2024-04-01,1620,37.0,1627.74,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c17124d5c0000075a89d4_0%7C1712097b4d5d00005df6a769_0%7C209f0f9c4d6600002d45be38_0%7C209f0f9c4d6600002d45be38_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GPEz5NZ4dIf2c22qm5CygxHP5BPz3KoPRxxoFiQZAAq0dpz2U7fOH2igTituifr_p66k_zXkynjX_0V9_n0_p4Z6LNGQMd_UYjdoiJAcmJaqjyyXv0VMif8ZjlXGT5mMWnfxW6l-dkOGfzz32gePVqaOHmXWJuVsVcglyqoNOm7BuAMrC2v1iMa4lDl3ay7YUxQVlcMrklc7fP2qjaCHpuY_qaE-izFDF5O0Ak8FBRixlwOsXRXHvDYYJQ1eQgi3k6Wiu9p1QURfT7orKONM4UOYF8wAN7jBlpfGt_wi9R3giEQCq-Ozrk8T_oREV957mENOrw9QkbyD2lvMebmGEgGwkmejBYcodBwswDHewLud_kzimCsnI3HnUAWn7w-gCZmpbAi9VuHoNGosgtr93uMLNC66kwo-mjY-wY67p776jna3EA96-KFz1A4_eDLgvwLs-MKTbBXEjYbyZpu5lcshhx3TXeudKxd5rE2Dvc6qIYvfzQn4yJPF97CNUgRGRmkkiL-Z46IfQ7bBDQpHhZfc0Rs9aaD_zYYmYRy9xOZCZIc-VVJlDHYnnYxBVvU0vaWpqn9TRPIyIqKKFBsLTgwrBq_F262Og7JWBi1qpSHCcVSeWNHEGdP9Clphljrj1
SFO,HND,NRT,SFO,2024-03-22,2024-04-01,1603,40.42,1641.46,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c09024d5c0000a32b9911_0%7C0f9c09024d5c0000a32b9911_1%7C0902097b4d5d0000f8c6e978_0%7C209f0f9c4d6600002d45be38_0%7C209f0f9c4d6600002d45be38_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GYOp1yGLXl-1Rjmc3KoE8ktyeLolVRE9J1klpfgiiBKtvR-O6K6o6ezFPxHGzkFi7FPN04Yy7HN0SwFaPJBw7jVCSIYeUprsn-NZnjEKIW5vIqEKvzYiRdbV-9w1b-1XbwERwxcv_Abb9To0AUyGBd8ldPOszWcB0t-SZjX_piCrVqDvxOkTnMWWqcskcvfxKkRcmke3zICwJqBYQOhB2kh33gDjb9bYBhWQ-QUJvT-gUUj3D5D5Lw9bxAa786TzImjTbGZWCn1GPse34Mi8gZHLsrh-20ZiFC2-syj4ezg1aW6gxbqYhcI6ZKo4Ex0LXxwMYCy4f-7Pfo2ygPrnwqR6RVuhmLRbntO5-hDRuHK1sVCCsWp956M2O85by7QWYi69_ynCIoso3mYzf60a7h9X7s7bBAIWUonLnPP-k0s_nQe2BlSBs1EVNpwo1_qjqUaR5KsNTykHOIKA3rwG54sEozLlLLT8xl6ardrgTaFETiawnr8yg8fGpqclH2F-uIKmw5LDGaC9QgmVI5TKXji7rPzDSQML73As51rJc79h8JvaoRsO4rUJCpASnwp3tw-JkSUSr6hG62PYn5mjpteJs9UcepxrVeKYL2PHzbgPQPS0REBWAxY2ni7l4uNRRbGDKvPVzL4Y3IcGklWL63A==
SFO,HND,NRT,SFO,2024-03-22,2024-04-01,1582,42.67,1642.59,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c0a614d5c00004fa74475_0%7C0f9c0a614d5c00004fa74475_1%7C0a61097b4d5d000001e13986_0%7C209f0f9c4d6600002d45be38_0%7C209f0f9c4d6600002d45be38_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GtArND6QX3CiRxsWhbEHBAzekRCxEVR_BwfWljWAZaxl4CfJ7K_0Fn-l_O0Jil2pmg0y1ynw8dB5WXMjciJoutguexKcg8AsZPJP6Irag87kuQ0Fspd1mTcECfM4UqBc53H4XSXaC83y6KvYP2fdpyTXecQreXf3bNo07QorEBuFYizWB8iEoFQte8bqQ0gxazCpbQ20d4WKeSfCq3rpCSJrKZkOla-DyufGZQzop1UD3PRnid0V59u9pOOo7hWuCpc48IQjQ72UomQ47IAEZpppS1aQ9FuElDii9F6Z6Ahk6WHFg89JC7Qt4VTL2plzXosJIF7kyoYkGhwBqkyS7E7KvZJ4ZxkVqCOuCnvmwl2qXcye5lzj_dk_ZK94iIBnOTy4z0pX22xuRgbRrc4JTTxPD0ZvySz_r-HZ85AwHoTszElyoNZt-0d_cDZQwbBsLkY9Ytr-C8lF-J_76fkSHFL98RAjvxGE_cuyQ28APB1nZeZA60xb-8c7wiLPbavcHs8BwWPzQ_Zk8V4Ch7SDXk4vkwoNkyEVzDg4TSARr1h-dhxy8Ypd75F5p1m5Y7DGVwaaB95SUdT07DtErjQ9Rzrm-mFpwUNZoZr-l-GlsQ5hfDrj6OpKkP_7Zl_Bmt5_v5n3Db1RZgt_LE5sHDfnEbRzBg_6gNj89mgUnsYr-XQY=
SFO,HND,NRT,SFO,2024-03-22,2024-04-01,1610,40.08,1644.46,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c17124d5c0000075a89d4_0%7C1712097b4d5e00004ae644d2_0%7C209f0f9c4d6600002d45be38_0%7C209f0f9c4d6600002d45be38_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=G1wRadKjI2W-rj9wSGbsi_CD0GQLU1yR37qvjWnEiCKJ7aSh_LRw7mgKbEuIrtzyJowBlW-heOAILpbMPSMTF6OqpEtwl6Tepo9fck_15mGFI8Zn-JZ9wqqQKByaqxFqKiztdixD8bhMH5Wa2hXkx-Q9c2a-pASlUPyJSG5GAjvCxyeIdF4jgg-akA3nXnvMT2hxGoeV6Q-J39Gu-GpRujmwx0wIW9km3apSAHwP1gX7VSLO50pf8Gv8E5yh_dlrY-ulsiq3qH0-AVkqFvHT2vVuJ5H9PV94c1TWNRvyC9h0N6LCWfrFi-4vJBhylh7e9_G0yxNZVjkSCOJ0STdnwpOayX9DI82ufI36O2Oh-bJA3XmNji6IVX5jc5j4kt_4xe2Fr87xXAPR1oqwsd62KByz8FD49JjPZ-D7sy_dw6JAObF8hwdOFG_OWDTO_bcDeBXw31arT-yTTQ7S80uN9JUER-7EYn8V9nGlL8wRTfbmSmBJENpafqHfXfpUTSmBP9VCat_TP74bOf8d8tVL58g4cWDGBNo-IuStH7YBAicRc3uJBrgt65PR0SxO-h1HhKIBc5AVKsK1Q_afeEswLt4E4Jh6UVFgopjzfY9cODEQPG2hHZ_C3H_DAkrS1sovd
