Home Out,Dest In,Dest Out,Home In,Date From,Date To,Price,Duration,Quality,Link
SFO,HND,HND,SFO,2024-03-22,2024-04-01,1574,43.92,1645.83,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c0a614d5c00004fa74475_0%7C0f9c0a614d5c00004fa74475_1%7C0a61097b4d5d000094f2af31_0%7C097b0f9c4d660000958c3600_0%7C097b0f9c4d660000958c3600_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GESVF-e7m6Q4BIzCVDUiIkn-3vfhbOAfrd6SQzzH7_TrqKiQKX5FJtO45wCVT6_zk8HSKmUYvtzpATK5UzKGlCspz0ejw5F2l2HnjPx4NB_s0zO_gRL8y87TFmBlB6XykVATWU8LpP1Ons-45tLjNHAaGmm2gmIfvrC6hfHNzKzOLBa2bFPjZZQ4eXtka6Xoq3bjdAz3raogVOryvn8QR1Hrlz-RdV3lEQs0AcsdzfxwZutvbCwz14yQYez8VPvMMMHBK4hjhhgUaTz6Ri43AFuUxIT1ZvDGcyeOnotT8P5eez8_zz_TYWcEEIhx8lIkue1pVhky6h-33H1mclbjZ_CF2v__k9L7aGIgjdVjVjo522FJte5ZEdzGIidim_Ua9VAC9HstwpUkekEvAzOag--EQOAuiyPGHrV7G3fSWgO9sRl-BxkOhjTORP_B76JpwnOl8q_Kc3DPMKO_WfDbbgihcNJPwybL3ivTj1xY5QAEND4ARtvDBhx8DYjtWPn4afay7Gc-O45ukzTzkit0bYYLTSNF0QNz6Ogxp1yiRd_av-em25kM_i_P8lPcpxnB3Y_dS3gErFW17Agcr735Bm-0YOoFkrODng2DOd3PN-vj7PnfvHykI1c6C7MtkRkpW
SFO,HND,HND,SFO,2024-03-22,2024-04-01,1635,38.0,1647.96,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c17124d5c0000075a89d4_0%7C1712097b4d5d00005df6a769_0%7C097b0f9c4d660000958c3600_0%7C097b0f9c4d660000958c3600_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GlE5AYZ3Fq78CksO4XLtGYyF9UEPzjgKN60ORO_yjeoWAVu_7_Nqg5AYej9uKmSXOj1G0fUUMEkzF7QaSDFjIaSyLMnM0nauOzgviWMOh_kHuN0-1QA-I_nZoLmR9Oer4MVmf7K3NtG29eqbQOslIsBW5NV0Mtdx15QKKyJeLEIs5IzEHTLC28oaQtGStit9Zd5EsMXsHLUB4rjgK8_W6f7LnMKMNd7p18t6B-yV9GmgsKJaBfnm_Bo1CuClX5sVlimQD44n-qYsWvZPuUhBSkh4jrwEbf66Etd1muvj3-Aws0ob1_qhKn0ZZIHkCkMAJ_pRx95AWSDS4I8OVZ8M_L2FU1En3LBL-07lgv1FCtEh-A9FronGaaqoDQ93KvhfFr9eqL1ca6UXxaXjj-nFeeKgs9T326aVK6vBXjElH1VNVAhKSpY2SlNKo-3ObLjj0cHrQ4YbQdsY4woQaCqWPNN8xSR2E8uddYfzLrkpM2g05_RQqUl_6-Yhwwxe1Su9EIftCUWK9_mjuqNIaNDlj9galy8p_-Gc7QwDnsKL7WDKawB8zrbT0r8H5b6NBsQeQ-Sg4xEVA1bdHOUsOb3ka5aldrbPUeW0WM_2YlNxCeOGS4Vy_aIb0n026Uupop0a3
SFO,HND,HND,SFO,2024-03-22,2024-04-01,1618,41.42,1661.68,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c09024d5c0000a32b9911_0%7C0f9c09024d5c0000a32b9911_1%7C0902097b4d5d0000f8c6e978_0%7C097b0f9c4d660000958c3600_0%7C097b0f9c4d660000958c3600_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=G2xQu8tXNpJSGO6KGl0MxpD1gC3hRWLQ4r7ou11DKTZnf8KloqPRTN8IYBcjYpWsdlDGs8VhI-iFgQUL6_cN3t9UxzAhGOnjOaODMAUF22dRMLcm7W4G9ne9m2PvPT8cL0vagblFRa1XUGXCMnKlpxxt8wUb0Gkh1fo4DbUxcyAw8JnQBopjJwNTpEE36rsidBvItb_Hj1DdgT3fwDd_15jw4nxIfn3KsTAaW-f_kn0kIU_zruP-ggD9m_bDUzXxyBYdbSuK20bQE71hlDm4thPaD3Jlpd_KWeKfA0JIVjuc6WQJg0RqHBBgbj0J4MI1vbQxeSqmDETYINL5ghNjVoFaKntZ75bsxWHt4QUcBhCdIlMXsFaoWKOvRcIL1pwJ9iF73-jgxVa8xG3ew_ILPdw_VxNgfDl8slW4XW-UCnNOU1ZdGnhjsvTXfnMIEombWwB6erfw-GskBbdYq4HOq9VZeEBr4ezxhXJaNMZyuTO2JnQXn93vVPwy7w7Nj2OPw1vaFXdIOt9Lu4iCYs5Q-rTsTteqj86bqHRaFvOpwOMoltSOFS1V3L2Hh7bux4HqxlEOLTH046th5fasbzusxsbudjHfpSHKOfiateswRNRAsUqnw758dKZdChZ2sH_SG
SFO,HND,HND,SFO,2024-03-22,2024-04-01,1597,43.67,1662.81,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c0a614d5c00004fa74475_0%7C0f9c0a614d5c00004fa74475_1%7C0a61097b4d5d000001e13986_0%7C097b0f9c4d660000958c3600_0%7C097b0f9c4d660000958c3600_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GfIvStwj1FmVn6f6isNVpS8JXmMP5BFkbvdyKOonqcRgjGcuTQxSoDBVrDWxZAFq6WnyMDTH9QDvQInIy0-2fESWl5CF0yBU5LXkEc08pvOxn2acymTtN7LdlpqQ1plFj76o91-x5rD90HyUwW44TlvHkcQp9bO6a4PaBO5M--AOOADR5ALkYntk6zbTVmo4s2vq-cEl3Jj0vVYn0cFdr0DzHTWMcrEj68araKPLhh0fb_z_MbZ-iLcykKRJbp2dXJK2WllplgP4hHPHpbOV2aGoR5Y1eiNOrqhTlH9_FSW9nQDy_EZsVA8bOSFLYz5uAOYlZrijsox40fluMy5bOAUL4kpq-c0OiJm7WZ4kIF4ducAuwq3fM4y08B3RekxVvxoLhURE17fiijjzD_orm_m6zoCDfoo8pm9V_dc6VLkgr7ejAeje4Tz0uoJb38ViEpRwGQfuNyjCDdWjseFUCI8JtARS-ZXo0iuuGyuhqSWT5zSmF_vcmW1RzM5T5fmCusZLdht5mprRWqEwsSxK-PFxTPNTF6fZHxBH5nL7wlr1ibabbqvluZFU6J7exrGHy65K06gSC06KTlnU09ZrnY_uHLT-8MfoqFqP814j1cAMyfmIvpDd0pUr4yDAWvGR_Fc7m2UVGL3KBfgH7_eqQZA==
SFO,HND,HND,SFO,2024-03-22,2024-04-01,1625,41.08,1664.68,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c17124d5c0000075a89d4_0%7C1712097b4d5e00004ae644d2_0%7C097b0f9c4d660000958c3600_0%7C097b0f9c4d660000958c3600_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GHv4U2jt_2EukT2-5XA7FtT4qZ6ErKV_ZtuXPLHFqZLA2EqOeGqJGH0P3W2I61a7JxgoE5L88QawiLdldZm-cqrF0SSbldg8iwUsy9ALfqsq7tSpRauHTn1mzFKvGbhE-L-02PKnFnMd2fM13G4h5QdL8OsSSFeSo3REA1IrV0Yw47KWqvBfFICIfZiauFOJ7_ivYyeMN_PFRKAdPxSfPqqbGJnvKnWFnra-klXhMEp_VZ6iXL3TWTgGSaYwhbj8MJsr48wULLYvWkiloV8sVhJ-g4wM8IvBMBmkeoJgOA1vgtRzSLb1PS9mKjAgEiVpLRoQC4K0hUsxRdcpbbJONva9oa2h7aIn3Q7EPfaPR26E5yvSOxzDvZ43aert61u8ZaD2eWRZ2m_ladzX4aQMb3_nFmlAYO0ouSz18Xi6i3BJaFjuX9VEhqS57i6z9ugCKp-inmiusmgqOUVXigXrhMVXCezJu9u-Fwu2OUOvAL89ZNDB8-T5YsltZtKQ2hCJ8yTqkvnBv_8A5qYyXo_6wCdDMtC0NOZom2tnVsily3QKnt92lw_JDhc2vT8pTvEr2QaYKPzQy6dssV9Veg1h6DffWW2Qmf4Au_nTr7MQYWktniR0BIl6op_S6kYKdWVVP
SFO,HND,NRT,SFO,2024-03-22,2024-04-01,1559,42.92,1625.61,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c0a614d5c00004fa74475_0%7C0f9c0a614d5c00004fa74475_1%7C0a61097b4d5d000094f2af31_0%7C209f0f9c4d6600002d45be38_0%7C209f0f9c4d6600002d45be38_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=G5g9p_AGtCrDts4S9Ds8iE66oqJB8-eahZtiv-GAOSKm-S6-A_4LvbWAaZ4C3Fo87VMdbcBYVrrs4gUrIDESTAEQ6IXIWc4ReQF4qatjNgXPY2aSrnsAyp4-rhR5h6Ixkvyb0iVUF_JwoVtyaFMKC9SHFIkc7al_voI2FePy0JtuCN723hpTmTYzKdb3q_z-MuxVMpa9gsifRq5JuZEEJ32nmKKXGLNuVWoaVIc9Dvpk7-OjObE6-JKrw1p4phR0VxU6AmWfkjqhxbvfpwuhxG1pBI1L0NseVK9NIfYK3LuqI3KpQKVWILvifHACONvOi7XrPEdAoq7xXBGth_DiCgTcCqLD_-duXtq8nSrytbMqX3Q9f8taLYsaaZ-6kgID0V_-gPCL3aDGGdiunsuF5Mtk3eRL38HaJKOzqwKXFpA2vduUQjY08806cBcCVR65g53M44rcpQQDGuDbEnzDeIM0M_xoePXDfEftTb3iAtum0n-KLg94whd2RS-BWWF7Ug68BGGJ7erojf1FsX27x59LQxnB2OT4zd0gyv4V3bC_iGod78k3KkUfpTxlTsrFKNZfeK5oNArARfEADhShtLujPWU5A5Rk2Cg09j_vtk1n-_q4nejVwqWhg4hsCcrwlv1uUSv-xV8cabjkbgPGJLA==
SFO,HND,NRT,SFO,2024-03-22,2024-04-01,1620,37.0,1627.74,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c17124d5c0000075a89d4_0%7C1712097b4d5d00005df6a769_0%7C209f0f9c4d6600002d45be38_0%7C209f0f9c4d6600002d45be38_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GkyfALL83BCGNAXY_rjdrh9_4i-ApfeNVPMVd0ERvXmAYuKe9YYDPR8Or3tPHy5ZgAwu8wnTCWKpZuJ3n_5xo8Y-FHd9Ltel_gtg_c_lkkr9ZdiDMUHDoOUr9rNDJfHO963dLDNEVzTxih95nhbyKVzNSqRjB08Te02abeTy5vcOQauSbDZqUQZkU6vNRbSNvb-ln7E-ZECX4GMULEqbMtHjqeRp7vSK8UbEztFvXVO0KNn94h1TyLoCO9_WQamXE0CS2Oy0UVVSWtinqwaa1vPs4r8uKzpb_tcltVSz9_rk8KWMozyiAXibTdZdG1W0ZvDp8FNs0GkdSM17Sv3JH-4rmy4J_kl17srYdpdCBTZq5yfSPoFHTgaF8NHJTQXF4VmGlEntOf8_JUgc468f0uk9llm8wORGmG4Cc_5wYSAMBpNSmxap46tfNHb6kdWVN5WbnAjc4rW6TdFrB5RFFjH-SXEvTo4evjCH4Cmu3GeDx5NQJ5sKElAK1RwY6T_GfBTsdyDj5eXwoPbkO6BNAD81X2Fp94I0MHECCtTNPX7-HZ4VnhNDWZ42hixsVjhcpsJaTx6UQIPLbLUtWQZjYYFGAaYDjlaPmkfyr23sgWXg=
SFO,HND,NRT,SFO,2024-03-22,2024-04-01,1603,40.42,1641.46,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c09024d5c0000a32b9911_0%7C0f9c09024d5c0000a32b9911_1%7C0902097b4d5d0000f8c6e978_0%7C209f0f9c4d6600002d45be38_0%7C209f0f9c4d6600002d45be38_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GGwDBEQ2MwXmWXVWhvv8_AJPJHH-y6uasOvcm0U-d6vjznEDQdDsJh5P7KEZ-De-CYwfnlxewMM9LnBXcjJm0ccs7cHoJKMVeT5IxK77rpiFYduIb1t34_4jCniEGfQ_GODdiU9QoL-I1JdKVx7gBtvYDkkQgDqOAdj8v9cRrvA_EvYdO-fE8pHLhlLAGCmgYQFwdjwP22Gs0x84c5XY_B8Bt1Gg5Y75MvTgid7Uxo6zRnDtdd_UfofPvorNK4EdrAOJ3Xa2mK_7pIfpf_8lx0-cdmZkW2mE5_bH_9n_GSf2tuIZC7bjJ1_J67uDAmkLfh5jZZwUFeMJuCwbZI7f43n59JiX5xdLaQ6jr_gZbY4zM0MWPDn39e-HJzUfpAN8n6nz2-oEi9KLyA56ZKH4MqXvdfXKO6Fn9bRYcIEcRYwLF-w0rBqMNPh1L7aEFeRgWKn4YtdwBJyWAXMdsDXDGMRROF7CDk36-xmJhhzTxyRGOxZFIUFN-hgJnISpx7maSFt502fXNUoHE-_X8e68kQKbX-QUSjXjqsCLTXdFwZLIQfhIzV9SiY6IdwyZS5uG7TrKruBQYwUywzJrzE4k6UvmpCNH3fHBJM6xJafBz65pL53aRRHFeW7ub7gOE804S
SFO,HND,NRT,SFO,2024-03-22,2024-04-01,1582,42.67,1642.59,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c0a614d5c00004fa74475_0%7C0f9c0a614d5c00004fa74475_1%7C0a61097b4d5d000001e13986_0%7C209f0f9c4d6600002d45be38_0%7C209f0f9c4d6600002d45be38_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GKyKg9Lavel-slOQKFR__13F4s0A6xkwVB5gRKGUVbyGIc_zstrbz0F0GbACtto0YuOvHZg3pLJbeRnnfbdYUhJ3a_QwbEa8zTiJD0FoXPE3Ic2FEHYSclr6QCKZN49vRA4MN_w8qBxs3PCP4x8yBrdXdwXjR4Qv6C8l4d8NGJRTiburLDisK5-00zHBfGXggqA8zG1nryBtx49LQAHvQCAzZ60Q44pUN2WiyR71eNOo6eU4O1HldWI9WJlVaRdSfjTwqYihRCfbn5wmHwkd5WWTZ9XZj8zxKpaIWrFqGps5hnOp5W5XXoMB5l9cdtca4S700PM-wfthfUM_ecZTi0yzLYTIlZLhLC75bA4ypADCwEyy0Hy9JPw28f-yUpS8QQOWX_-giGLJBFbg1uBk7VDv0IZcuT3AUIKKKo-31c8InP0tXeCHw3VmdzCD4LEBat8jN88EZJtcW9lkF_Ee6t5Pn45m7ruoN7P4iTjXO5rN-XvFn_1gXf-gp_iersATKMpA5DT66XvN--WTqhUchXFU5VvAlTPRRA6fAuFIhmBXNQLHhIMfstSNEBEmK0gdD5NKjUVxMkFyKRK_Cwd5qoarF6NUuYvywxf7hJPVJsktWIxHV5V8_SbhovmEJNakznGD3qKM-QujiTin-GbsWZw==
SFO,HND,NRT,SFO,2024-03-22,2024-04-01,1610,40.08,1644.46,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=0f9c17124d5c0000075a89d4_0%7C1712097b4d5e00004ae644d2_0%7C209f0f9c4d6600002d45be38_0%7C209f0f9c4d6600002d45be38_1&from=SFO&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GIzM8UHMrT9iFQLG4F0U4fUocD_JLzucY8ek7pOphMde2vhC8U5ARCYn8N0icRbk0cZkv1rwwysz8GDlRLQVVtnVCBMMJ3G0wtn0jBJhntuBvnwEoltABY1845hqm7ndHHthvTh-1zKymREJNL3iAHDBJyOstvYCXOlbwZp7e_vy8PtJtq8CcBYRuuJL0zaw1vySivxeeayjYLXx23OXG2v9qq4HcL3QCTXcaGxpeeW1OKLg8LqTCzUtA6qjcbs5u132YQV6J2iju8ltFfYzGWGbvSiUZhDCcoRWEqwtPwQK6mGgnjJsmok6KTFTU2yuyfUVCnt1924pDeeQXQzi3pDUqkooUabiae1w1eOoGv4n2A_6kD3dIFQqkmnY_rPHkwgb-5Xx5B_WC00Pao9ju7IUOt9tmR7DoqAHeldAbAphWYjJU-2tNtWfrUkGV9ZEFQn9eebn0lJ_jzLAcDTNJ9sIYNMdE-IUYR7yWpQY0jCMdEhGMPKc5tmofOWpgWfrfcWI6NUXIqttpfOLka8yELH8wLbo3aFez1v1zYR5EDvoXLHFJ1xOgVDQlPToazgOnMV8lqNEH4tRdoyJ6heBwJOAwDa0TVtLnKBMHBGvfjLUM8hZf4FVzQwubJu5xZ6rI
