Home Out,Dest In,Dest Out,Home In,Date From,Date To,Price,Duration,Quality,Link
LAX,HND,HND,LAX,2024-03-22,2024-04-01,1484,41.58,1552.92,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e09934d5c000033087a16_0%7C0993097b4d5d0000cfe811e1_0%7C097b243e4d660000218e9b90_0%7C097b243e4d660000218e9b90_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GI2ferZK9m1vNNxrgbvoE8jbsnvyfVF0_DR2BmTHblS0Zs5gmWYpoFejvgig6FxUT4guDF-B3xCe7ZaBiBzmTezZ3mlxqSJ5ysnclTnFQvFjx4lcxFl5GGUto-FRUMpimhEAV-5RXxe0hA_cRyO0wN07uxLoN6VakjUelarq_MuImImVYoKhnvfEy_4EkXDnOTcNE-b6k6BEwDEY5ifkVy4Kj2Nef7P-UxKlXVCP6jQtvV_8r-q0BbGHym9udXMRNhCI5Q1PwC7IjSyeytRmgvtpnq8jNXSg8Dd8bNtx2fHPzXxOc5kw98S59NDdoiP6v-nK59Rlz4neHCR4BfL4Zz0UvNE0ofdEjJcTA4L1YNRuR_2daG11PAav5ZtmZWSBMELVtpQqlvVIGebfDuUV3cB4S_HSd8C5g9ToNqWYXvJi8DjdK_gqwisk0uBRWXqBNYR6UU9AxN16SBMuIlWN8pYvgHV1RfdpPMIpaWr22dCjkiDcJsab3GHzrL2fjfdUfTuiRk6XIcYNpzm6TuskYrP97KVgFFNA4pKRnmdyZ08xOqBeCmpmw0QdKY5ds4T0ZTYRbFtYB6zV1jjWGUAUnLPrx8Mh1t1BOagNDAm72THg-V6N14DCBckF09uIcjenH7KamH5Y9f6HJlCNQLTCqiA==
LAX,HND,HND,LAX,2024-03-22,2024-04-01,1527,38.92,1566.43,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e09934d5c000033087a16_0%7C0993097b4d5d0000cfe811e1_0%7C097b243e4d660000b02cf8b5_0%7C097b243e4d660000b02cf8b5_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GENI7MVPdd5u8wGAApFriCl0pgkZgAy6aB59-c_W8Kg4OVgyS9r8gROu-4WXS8Z5hEQK1TMFeC5hg5-iTT098MUt4mwyUs-bEedJGLCQzdpUzmMxhps7xR9ndrZ37_dXHTpf0Btq3donVXwoU3Qu5pT6DVnMhXQmNFZlmWNnZjszeCXFYq299nykTY6yC8-BmUAsQzRUf085MvEd-uQnDt-jYEeNPkOkdgre4cqfdH18wZoyCcs6IKBczxJuqPjKme-xJ205wDCsckENKXnbDR6ffNtCE1YVDoer-dAXsIPMN_HVCTcdoP4rYY3cNxXLkUMajD960ekmglZSbw26i_XgXfm_c0SV-NjutLyaGB47mTyTDZSY7UtywlOK_stkFFyKl8B0YRjuOOoURoReNfzxAG9ifBl_x3ekRtGwJwhWTgLcC9eMbYc-9G3TMDGKmo4CHuOtfTlMkf_Ikz9gW1TzblvldC2t2c3rUKbUdi6TcdyiYZ6X37LAVh_j_WdYSmNUBainZ7w6NaTve2GTbO4aME1FJ4J3u19kBvUTwUAJ0x9HlGLDKK3JdfBHD0nIhqFk7Dh9EyFKyU1Xs5SVdMPCuOiIx712gQXH2GwQcjp2qFqDOdrFcj9kCYP7-ZK1UPHXMnA2pPpjassvHkqZTpg==
LAX,HND,HND,LAX,2024-03-22,2024-04-01,1552,40.33,1597.94,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e09934d5c000033087a16_0%7C0993097b4d5d0000cfe811e1_0%7C097b243e4d66000036113e54_0%7C097b243e4d66000036113e54_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GkVVV8SdyPwinutkdQ_Oa_rAvY3KYGHarEQEEV46AeidrW7p5SelSKbrBZKmf8f8w9aXPdPKY2KxWpIqNQTrKOZ_EXBHv9SuPCdlmzBWltrAnfmetk0Y63hwGqqNvk_erNghbe000a9qWS2VTjcn3udBjG1lG4An1TXOmPx0rrcf2UeBol9BQ-QHde-4lyKDE5xBYW_CJjmMtXjE9CyY1sgRS-ILOjHnHdkDcKfj5e4WL7FUX2fXhye8B6kRzJ7p5CL0VRvC3i0DF5JkohfYtBReMXc9TkXdlNW5kvwKSuSsykiKL1BcJsM0aMDic4h3hrMJx3wVLb7rHyRBabWjktGGe_LYOiCYvVY4jCLgdOnuPokKEAqfAn8IlXv3wzZEAQ0WDfIAiU93i7QaVyn52kWNlgR0yuV0k3_XLpersYFPraa2AMmnogKzFfhIMLjptGA3TJ8cD5P9wZx1XRdZCHF8tHNGmEttx9M-ILz3fH6QWrXrUu4syJfXdHD3ZmCydrMijEqvSjuJPMM3Ems-euQQZ9wvLuSi9aeZXJR1Kwo1oZbFmmKLvjzikbnumOJwLiKqNU8fggBR0NIG3KJRBV6HpWO6ux3k1ar-V5zb05ukwx9sOObFibvpbHpYcoLHCuyUptOKUszT59MfeCx93TwDhiq5CzFkhfbxd3ye0OEA4oZ_IXC2LYho_X9Cv3TPnoqlon8FuerV0vy7ytE9K7A==
LAX,HND,HND,LAX,2024-03-22,2024-04-01,1459,39.42,1601.95,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e097b4d5c000080aee912_0%7C243e097b4d5c000080aee912_1%7C097b243e4d660000218e9b90_0%7C097b243e4d660000218e9b90_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=G7_S0aXqYLZRCHu5VclJZEnp94Trefe0AGOea1yN-Oa_vM05rulKUmdNYc644hjqIkrHRmux4mMgVd35uprYpUl0fa2dKu04_wkxEVnrAl7Qn6EtG94xceQSNZ8i7HawZZZu2BRVnHOGqFee2DDDLvMlvceU64FIcI_sBqw-FZyoZUVtZ_4pXk9IvKDrM6bq682xB_d2SYR83hAVrub-o9s6tWJxSL7Do_syNCBkhAWiS3TOCNHrt_4dwp_x4ouzzDrQUapZPvE4G683xczh-n8ZWs-97nqBB4yx2kNPvhTDlNjBUOlHyjBMMUHlcbJtanXjL-0UYMrxhvkCbG7xOSScbO3tNkCXZVHy1_q1j2EIZEKoYl0sfY-Q0ZXppWvAIWiFpPshqXZuZ5lw0kwi4feMo2nh9EVlVfZu2-OK1r4MgndxbcNO1xzHXC4NWmagneIa59g1DL-OwJ2EofAl0JxU_-JKEH9SejsbtC0Pi4qDZ-x8cR0YGlp9TMwyckOxl8cv0381yfNkDbxhF2piSiwsIrbrRQ4YRRcJ_-9FJMaUCIwO8XB7yZ59Dj-8biJHfn7IHG7uDC-J0kgg5e-QjmA==
LAX,HND,HND,LAX,2024-03-22,2024-04-01,1429,53.67,1605.27,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e21bc4d5c000029174c32_0%7C243e21bc4d5c000029174c32_1%7C21bc097b4d5e00004f8725f5_0%7C097b243e4d660000218e9b90_0%7C097b243e4d660000218e9b90_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GCg4pE_vgGzpuHHWdtLvtk23r8qzAUtQcbSopX2PC8InMt9mVHwTJcXjkldT3-QonChVYKion0iShKHWAlACva7OaAvcS6dOC5CEIuArB2J7OmpQSy2X9gURGj-mglKLrHFSTJ-OhCj95-MO5Pa_HC64ek-P0lX6VMqVhEbA1IB2hWg8gKiMAN-q8UghcaUWQHN2o6S-woCcnewx3pqly_hENMzUtcqicbT9zt11EL9QgbT1S_BCVZxuOiWTZVW3WlcfI14DTmRuXeRy_RfACUHXXxo5zHlT4a-_-FbQO3Vho6GsImaBbTosg0Q8rqnir8EHT-20ONRgdLyHV6ryXqMXCyr1JbSkpYVxTS6lYDzPYmzMU50AGdwsiamWmVhGuxC5P6_HAjVIiyfshpmBQu-MjiorJrBr3Hl9o3C5iZ3N3SwtR5tSAvO7BKbc19x8CQkYURdiifN0JFPFWkC9Tn6UqEyKh18z9DqOtT_PmXbZhthgy7RUUnqRx4QIvZNP5fIozj7RPjiNi4XfurvPR36ijc_OwiADbDO3xFmn2gpMXdqHQTviHWQVuTVDYdDHdHuvp5RvosVFqKm4D4RnZYTejEJDOFN6AXXl0XBTEO5gxZEX4WIfMh7fRATQZI9DM4fpxuzDsFTTyN170ruCcFg==
LAX,HND,NRT,LAX,2024-03-22,2024-04-01,1512,38.58,1551.56,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e09934d5c000033087a16_0%7C0993097b4d5d0000cfe811e1_0%7C209f243e4d660000e1456604_0%7C209f243e4d660000e1456604_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GAhNrXx-mQVA9dgVoe-RQQpl144yTgWhqJ4AyDmuqJPlj28iXGtK7qKTA9wJu9JxoyDvXQdLy9WufqxvnZlGC1CuKKACP-rvz4N_j12alWuAlvqlvkEZT38OVOmXqUxFRBj2mR_FGM0bHOJKkcBz6KjYjAtypUYtC-OECA3BfSfg1qZu4ZtcmPuFg8JzC1C64-r-0WgfB-xk-qLSQvGv5vPnTLekVY7lA5ME-HhP4_Pye4X16ZI2ekgtEqzAOx0vys0nL-_epokQ3NwucukuZEKFqNAWgkFmyKDJHRDpNSYXvoTLWi_NSj_tte9rojlBy9iy5_20TRXG3W1PI2esrvgjPU2OHukFw8DtT7Um1leqMoJfrf_GaVHMCL1svDRAxLspxG3DQA84J9ZorcKtfq-x6hVDcUv0HSB0wS17C3s0EsqBRrhGVZImqGwoxrDjfd7bUtDcpjX0ojF_7N7qBwMB820qnyGP-KKz3WTaGeNkn_Co3j-qljVd3uMf4OsADthso7nWeV6ZhoG3R8Z0HDCPL05cnoXlKgayoQ9hpr5cg0-B7x7jCyAAzdIN0odKX1n2HJTXunNnT9oZ2IbxlByJgzOlFD9aGxU4g5MJb8_mRTW_HD6NaYEpZufJw3a1p
LAX,HND,NRT,LAX,2024-03-22,2024-04-01,1512,40.58,1567.56,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e09934d5c000033087a16_0%7C0993097b4d5d0000cfe811e1_0%7C209f243e4d660000994713a8_0%7C209f243e4d660000994713a8_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GgvgxI0yVxajMS0LupxbxZNLMHOy9BOzw9X9jGiAYUftmSfxvi3BiQyx-eU9_tJ1W_LBcwy3lU0b79emtpORUDpvYvXdMKW64ZZpgBxVNLiE5nZ3euqY3w-bCsWnJu-9LJpW_-EDjnYq0Rt8fWfP1MCvNfKxR1Y7Eh_r2w76rz3Q7MqNv5IQgK9uKCdVohD5A2VuHpJ1OyUx8cZF9dk7RkmIxvUXVdmzTRxobJopxw2b3NY8Di3BvIy3njqCQE-P9muL7m4bKCFSbe8-gyarqlaC8bTluRUiLrbt_o6i5C8zmIeu26QTIRlPehs0z4ZXrdOUkPcvGYwupVx50-hfZ23ZYwWu7jEdMMY86U5koQ1tiC0gyxSOWDqoO0XcJfy5LM-NXiG-U8C7YlxburP18V9rT-MtuFhMyVbC2X22B5q7o1Jueif7Yt37MzyCpwPpomhIJFeImSI26_CcuasB5IoPzWx0uJqVjdIToGDrCStH0bi66K_jmABcIFEGkqqxEqmg8_SzzsvW1hPM1vqmqyuo6UWizVyufetwVkl_8qxNgpsLsUxQSTXMPYKdmAeTBqjl-RTedPEZTjlittjppXwdVUp7DJAuhOStJcwEDHSE1ig9-y8U-i2d2iLwSwLun
LAX,HND,NRT,LAX,2024-03-22,2024-04-01,1538,38.25,1569.45,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e09934d5c000033087a16_0%7C0993097b4d5d0000cfe811e1_0%7C209f243e4d66000011ba952f_0%7C209f243e4d66000011ba952f_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=G73QSl2sWfxHGbyklOtC8QStspMJlrK69sEoj1DzjN7B9xR_bZnwOBFFguBUmudgS9K-oXiZV28lID_0i1zY1S6oczh64fMmZ6T_abIKyVg0Qhzq-IuREYn8ZZPndx74k-_Q3aZD-UFXmXzdv_3gqe7WacBJgc6l_YqUq6KDxAzrz7JKrGnDJ5i2rt_ZEc-4l5bN2t8mxqMJa76oZ49_Bdx51LxVI0X7X9MyXEDTrruttFpLviA6po3S9xB7cAIviFMdL2r7T2yYgJT_QWb91ZLhf5RU1poU1jwzPrf7x22e1WnLj5zKJfjmxcdXWK0GxQTwu_SCW6lWZz10u6F0Y_Jfeoe0mHJPyhClKJZpaKbB0uDcd4C08qWCxpFQKcoGjAo6s3vu6ZPBPhN5hbtsFdYg7f_Ch9AqjA1_Of4cUwEUpJej_dnUKOzD1zdCdnJwy9hGfkWg7r-LBFWIahSG6-t74NasVBjjhFDyYcXPPiFI8QcgLhTdOBS1aPy6jZHnRtzTMXWw9mEIeV9TSxvXWtkJcbFqsxAMdDu-2Rf609JK58is-Lwv7wPz6T22QxVHwwEGUPUgEHiYToNyvBYrLNyEihC2SOZQrACL5Ir0UeLUU1OfErpim7aL0XkTRViT0ZIHuWddFs144BB_hH1vpc3S5sytyT7RmLW3_LRSiJ0KysjnsJgvX_4pdW-w5SYPC
LAX,HND,NRT,LAX,2024-03-22,2024-04-01,1481,36.5,1597.3,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e097b4d5c000080aee912_0%7C243e097b4d5c000080aee912_1%7C209f243e4d66000066f8049c_0%7C209f243e4d66000066f8049c_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GLTgPQ1evpmnaDYL8Vjjz3oCOjK5aDzV1kRyaNM11rSP9wXkBQX2CQ9HVzQpgZmoqrO-jwqZ3gxa4f--cj6EIz7I0a2bIctAm6rUgNLTT03swU8fkJb4qCPOVSPrZctVl64ebjHuo3wSeB7C91DnSpxXu-z0GUakBDBaLKUH61pJjA3rjPDOF7FF1zEVu3VzWO-0mQ6WLUWDK2VLwZUw4czJocDYBLlifb2YZPwelTOIy24B20xegJYWvc6DvofqL55dSc84WtevyRDMw39sJWEmVYFO8HCDTCV4JB059wzWsqXRMqtOr4EwIE9_vJt3zR84zyrl7H7QXpdepv8Su_U9DkoWMmGanFmoo0pKEbRfDioJ_PSYb-b466XjaxpZD6zfCz71i5CWOLr80tMkaWuoIqRXLu4KxhzaZen8AePJLqFWnfnFMvc344sTP1iGZqb0A_dY2YP2iTxpBRzGaLqUCDwVNzJizD_DnD7jI20kIhPzJQJTRST98TCm7sh3JHEaqlPbud9hxmUGoP5k7S_Pf_bCCeDePVXFLjFpdIUufsjnWLThMX0ERd4KZLPQFPb57bFgTdNZ5mSv2spSieg==
LAX,HND,NRT,LAX,2024-03-22,2024-04-01,1486,36.42,1600.59,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e097b4d5c000080aee912_0%7C243e097b4d5c000080aee912_1%7C209f243e4d660000e1456604_0%7C209f243e4d660000e1456604_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=Gxo80F8wF0WQhISjbUX1ET47HMBbog8k_eWAhEjqIk8ehE6GdBxwaTjl0sNLU0dWnEJWdGmdYC5YlaRV6cloVtlnep6yLeBZ17qMBHu1MqdvoN0i0OmD3U1HFoUwPQBLkMND3xe-ZF2VbsAm1h2iKcMNJD_aITgzLMkDxShIH7xpRFn1LXeIw_d8FHx-UzPg1HNZmM62ZbXO1eCtRec3vealmcIQdomxrhkDXZSl-UltxlJYNGJt96GKaMmnIYxs-4HdTS5BI8fEzmdbReFkoLcm_ygQ32YqM-jptwQLaV58TsMYduKMboFgbOhyMpxGCe7j-svNqIWHAi2siwrNfEEXWg7FPn8ul7fJMd1VXD8IPuJUuYATOsjng_7VVjO5xpCgNApk6RrHPdF6YQz8oZgevSwc0lYi6MPYg8Lj6UteBno_1I7R-At7nmTooG8m3Rol1pKJv96ANJMZg1eYoXRoVczX0Fd1cY4pPVwTVI0E0kgmci4on58S6iUa_xtZR3sxwtPDYieb7skLhWx4mD4apmMIBEQ4Sv2r5RzwTvkQ=
