Home Out,Dest In,Dest Out,Home In,Date From,Date To,Price,Duration,Quality,Link
LAX,HND,HND,LAX,2024-03-22,2024-04-01,1461,39.42,1604.81,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e097b4d5c000080aee912_0%7C243e097b4d5c000080aee912_1%7C097b243e4d660000218e9b90_0%7C097b243e4d660000218e9b90_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GzoMhhq1JaGf4rtFJWpkGNSEGLOLh6mku_0hgLFczoD5EhFvwolhT3axKTSkQjsscRf0ZmX1lc2dkqBAYqrxra4G3KdPCmWrTKKdCWd0tdUc1JhKrVEMrJxYFkTwFetBErdKruKNXyJTDCOx1FgO1S73uVyp0HAiUCJKXks7oMpu2UQ3aaurv4MZAyd7n2vmWCWmY30NTcZKt_L4Yt11xBFUPBzMKo9Se9QYgk7Tj9o1YGjpdq6iFlP0NBK7tD0synHPjkDcuGUHUY4vFLs-_698YHf2zhGU4sADO-LMxFrchUpNczwNvIJmJz9No3b9DzHgu3a48PbvfsUMk048mzfEf4yK_1uj016coetj56nZbb-zKtRUhIGAdlCAqDPfqESHnuA0-Y4UXn0RUBs8rm5yipHzPkL9CS6d6tcVCFtLw2DJUu8ZkRw5vQKTmYnddfDM9wOpigtWBM7zn4-2b9zSL8XfwWpY06HUtPsEfz4eIVNr5SF1hVMnNN0Af6bTL4za87AsIAVGWoddJBa_HkZAZTXgBXWms133gqEj2Iw8IAC20r12EE0g9vTgLAP_z
LAX,HND,HND,LAX,2024-03-22,2024-04-01,1431,53.67,1608.72,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e21bc4d5c000029174c32_0%7C243e21bc4d5c000029174c32_1%7C21bc097b4d5e00004f8725f5_0%7C097b243e4d660000218e9b90_0%7C097b243e4d660000218e9b90_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GHLshHTU6eCDg6xARP-U5ISg3SN18I6aIF4JX1mAIbrda67_Q3ThAhYf_ZtNySggq0zvQ0ac5v8Pf6jrRMPXyRoMPYUN4nE_g2ezFGw08XjJweXNCS7lnY3iwIJ6ywQN5G3tlsALF7rTG25xcrznnW9JiNO8aSCtP2G88fHLY0rdfn6K0VTepBoqbqy3lKFyc0Om5REDzeIT2ygJmX8H64s6syauwVrEIVzJPFXAfO_VU1u9rIx9Oim8w2uGs4vqLnUojuiVCitm5jHs-nEBMPi6zMDFojPNT49XmP2qYC6QfB43GbSJ_dEpjCLyiYvvyi0E30-l__TfXTxY1U3IBlQPZdo7UopSymCrWYEAC5PQF8pYY98tDw84movIo2D7cDG-x-gdqvY6ocMUncGssK4FJlJ0-3r8dBiPnlaNhu80BuAsc6XnUuIlJ1QqGKSFHJuKi1b7TEzilCbHfXmxu197kNceMjDQdE4V8UUd1DFCQf-pWOX7GEi1ua9RbGfu_MwCMbNE3a42XIjoNhGh1Z7RFXkZPyk-vVBQ0Bsj2w5_sqOU5pfFyrh9FC7iD0CM6S3QC9NhthMKL0wWlj3HLDkVMi-zHf6aoOkb7PfDfoiz9nRhFbF1ZxkcGEI5JNTpEmoHOzCkEq9wmp7eJM2uOWQ==
LAX,HND,HND,LAX,2024-03-22,2024-04-01,1499,36.75,1617.17,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e097b4d5c000080aee912_0%7C243e097b4d5c000080aee912_1%7C097b243e4d660000b02cf8b5_0%7C097b243e4d660000b02cf8b5_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GOiNt7Mj_VecwYGaPSljQZR0OVgU4PBgRBkiFO-SqHHxSUh3A1vFmSMP4FRjisLFPsiEw_zpDOOEwWZslbL3-R7g2qyM8n7zx965KKEwfOE26lrHZgNbvoRdZkEKK79ZCVohM1Vcb8LBycriuipnKj6uUxGjGwj5DMnuldOBEoTtZR-MNzO1lvmyxmPF4cj3eqMmhmFS2g_-_NC41LftY8UDM3h-sxPGwxJD_kE6remG7XNt70tf2iXc_wiDh22EGQyWcBSJNMxT-YfaBkR37V2kxJ9v-NNNjIqJYu8hUZIkQvLJDCvkM9dobKvGxPCTMfyz1hvP4qHywDx_iuavAZtw5lZcqKLOXz1tAjd1BPlZ_OjH_6zl3Zc_ht9uSPuD8ZFIR23IKLsnIT_K-9ZIGVJXTxyjat-X5f5j88RdO-n69SZjAGmjJIgDEQj-oqXrJxeWwXSpLRnsHwlkBWgdqfJj0uYt-2QnEY_isM3HhRalatO4QFitG9BZJf_QxTwBI_umKspi3Drp7j6YSuTQPhR0TY78LIigc99VIkodU8Os=
LAX,HND,HND,LAX,2024-03-22,2024-04-01,1473,51.0,1621.08,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e21bc4d5c000029174c32_0%7C243e21bc4d5c000029174c32_1%7C21bc097b4d5e00004f8725f5_0%7C097b243e4d660000b02cf8b5_0%7C097b243e4d660000b02cf8b5_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=G6Etfx8Pi9gDLr4ekwWbQ3qBy_Kc3oxig8zzCgcaGNNTDxPZlwBFc5qr60eWd188N5tiZ2FgUmRZjQttQKvlqx14Jtx8rNGmARV_z80JI_ItASRfmRNRNGHJ-qj0gnKzO5KdJA9ThkvUif2ZgwrMfMAMETaE14zKZyBb-_epNOEwNsseM1-QSNSSl7Z8KtTBNxl-LYrVgjH9g4lJmU4snu4SJyPE-IOFL-hXUGYQw80e_aS_IXIH9ohui-2s7BmR8E4NHJaVKHWzNKGOicbMjn7wIi1_Ev784HRRTD6519dq12j0Hdzr98Q-oc-zxmFgvxHf6dwcdGnOxTaLa1ZrV7s3K1Wi_w6cjRLr4INaUsmmgGOi72h6G4nz4KVYlE_7e8fzImX9xyrhkx_WsEB4A_mmuPfObEtbV6feMtfJ4m6kNga91bjUjiqh_Myo8uEA4ub6tEfAhl2qxN8FVVNqsOJ5zgNhNh32zICLy5baT3tyMatDTe-GpvuqfHQusAV6eQHwVsRxR-ZY2hjXJNuAXmiqghDSl9_dKHM5Eq7TS-QEbFqOetnWXhPmOXUyVWAf2SQ0EWDuII5Q_E0312Vggt_VV5E3R9C3jeiValOi4fxSAynCSeB751qr2oktF6TpD
LAX,HND,HND,LAX,2024-03-22,2024-04-01,1606,39.83,1639.38,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e17124d5c00009b200f19_0%7C1712097b4d5e00004ae644d2_0%7C097b243e4d660000218e9b90_0%7C097b243e4d660000218e9b90_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=G9harssMRZ7oYnreXwx1yHmKdVZtGQvJwpq4Kw4FtBfSEvfAu-c_q238_Mr95GBOxS9tJfCBGr49hdMU-ONZcvcZW_u4G_awX4P_DMls8B1d2MTxeMNyc9gNYa5DcWeN7yl7hm7H7oTti8r48MQ20lUccq8TywqHZb9UIs6ubZWVgR7b7zs_zdLzL_jAf4Ikm3Dh92ZC9gKH8NvEmkCqNLe1JZP_Zq0m2Bvqwb_4S3N_kuUmSbELu-VvSr-EE7NqBg-hAyofTKRhzfWrVO2bAjiyvKtFVUL8_ieVmfVjhLvZh36xMbeQ_8ZsMULy57-hnneFY4CVQhuHpLUtbsKR2zCNV4IVuzy3zjwqpk7t2M7-3U_HsGP3Ek1qawlfMLjPpkJNaRrYtxMSa-jIX10hNYVb9TRKkuaBr742Lcypfng428FL9QqnQfdggwf03jCSqH5bGb5LSYT3dZ89n1zCspyWTGUIsLQ309C0-N3LVP-C8u1-hOz9EciVBRRewumsz0NWockiJsynTWXLbg7Bku3_1BheBE7BJ7Q6ZNQm8qgb2pbuNsz_AFEklc7rK5DFKx-oE3i_MiyuK_W_C20-bbD2QtUeN0fUNL-_UqAVigPajK39tALV0fd4mYS3jmLcuLGYAlhKW6myBueh3VlWm-SXuSCsSr3FIyGnbbZZhA24=
LAX,HND,NRT,LAX,2024-03-22,2024-04-01,1477,36.5,1596.13,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e097b4d5c000080aee912_0%7C243e097b4d5c000080aee912_1%7C209f243e4d66000066f8049c_0%7C209f243e4d66000066f8049c_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GmbbMuIdr0Hc4tsEt17Y38JMb7Tma7Tf8_BpWjejRpipdGUhxlQ5SaCxe_1aKXO_x5UwF_DLFG1DNY5VnwUhnVYOHv5QF6BtCpyO-4eqPmvXenbFSaSPRh0Dpa4cGW13uYtRhnuBqpXoC05GU92-Vi7w8wXMll5gy6MBzonnNADUFiuDEmS8lIG-kefZEl-eyp5FyeDkWbjpTi3uYPAIZIERhqQPLRmbHr6xtwZa9DgDo8LzQQWA6TJpoe_iZnUz2j1PSBJJGf0HXBq53rhcNJ0UPmoR6oJsBCJx67bHt-h1hdE9Pc35bAK3ia7nr5XPysi-yOxhroqaQYsHoN7OqX5OG5t1dg4nX2hdXdM3qUx0N_Xd_s7MCRFqRIqc-O8PX1ScsOHiCC8d_5sU7FEFVMWeglNsBi0SqfKm1iBGmMVMRTXJ1pT_rP1TKXTCG7noKmLCD7sBHWHF2rQR7TjYJu8bFfE2TwhkIJCHm-0oPJEBNTezG9N89PxNYxy_EFmsfPJXfZFE5y8wHoAPHdY9EO65O0xCJhaVZUYASmgCZ5sG3f6Zny6pploDHR_ox3XQkxBYj_lEZVK1v-PNvyETKpg==
LAX,HND,NRT,LAX,2024-03-22,2024-04-01,1485,36.42,1602.28,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e097b4d5c000080aee912_0%7C243e097b4d5c000080aee912_1%7C209f243e4d660000e1456604_0%7C209f243e4d660000e1456604_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=G8bzfjmBzzqn36QWnhlcyMbnl6DkvBSPQ49C-bs_p53GFs80cQBtgxZp81iY_QPQEMlZVbdixtRXAiS8Niu8Rf8XYEt8QuojSb9l7GBokPNkA__W8m9hKezPGAbA6zJ072IYpYGIc6DzeoKZ0x5BIzXVKoQeqq6ZVODpF64O_eJ3yRMHZPmrZ04fsij1iCC5DvceXMgX8RXNmrdgVTIBrN55wiDgVVq99oaTVP_mJx7DdRISaE-mFHYqkAfzWS_R2HzpDZxoptLi_fQHbBhlT_jbxoaBTC-03OinJuaGBXDQMREORA9whLUtt5k1teT6d9FsLY4_VRgt-t8uucYyoVZxdnNmdk1GI2BUx_nl6l04KC5ExeMj9fgyy6bL_Hq_RhmJ0hXFndLkYR9-Z9LFdMKXoeEfj6BQAEU6HwrnUn_ViccQlJ2P4ntSZUKUB3dIFsXhmMnO-Fw6EutYFqX8RGX22CTes8e7SzHngpwgLIB3HZ28JqlSRoCJPLZeAhOsUA_YQfNl7Qv1Tzmx-CdWUm7i6lr8_rQjOU6UMpssbJzZse6b760k5epdnUcjGegjp
LAX,HND,NRT,LAX,2024-03-22,2024-04-01,1458,50.67,1606.19,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e21bc4d5c000029174c32_0%7C243e21bc4d5c000029174c32_1%7C21bc097b4d5e00004f8725f5_0%7C209f243e4d660000e1456604_0%7C209f243e4d660000e1456604_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=G2mXQjqZKXLkaw_LF8jCcn8cjiHfV0liWrObG73G7ao8TyRDlfKvlRS92S-s8eJSLU7H2NGTu4qKyW_o0r_SIMlEK5VO_OSKnQPOzAj48spN4vWq340sJdBtMH7607T27HvNQI1paQdmloednOmCdbWn-A02U2ykFmnquaph3nrz2JkXVl9i1WXcAwqWbjvf6TDr7psq9zkbpGVH-tf8lcwNaAfPhrIH9g9DX37mb2IZOTqGNmdMNT98yM_HRKu2T4lu-WoEUnZUZiB-6abZUhi-ZmRbU3MKBTxQu5b9j6FArwUfHD66GVtrpQv2Idaf0RxUakfNFzo2u4ANbspd2_fsvIsxNglnESTdNOZnzMwwX0MXMDy6Mt-f2RPijtgF48J5tsDLSScjJnqiM2HhrYwpj7BFbZt0c6EGMehxOGz-mfn2TxxM4pE5TjCQKAkxJWIlmDnxh35fWSUIP_rxJ2EUxRRqwH_FyybPX7AaYugdG7uzze07igcYt-2u8cKlYPEolibjm7l229pa67d7B_gJQALX2oRXlCeoYrfeZR6Xye_Ui8crUkJAzpieMJF3L06ZHI3uzrto8G47gr2wRAYIOWtYPtza2sm-oHLRcUiUHs6I3WU-2iNWFqHxkt-zi
LAX,HND,NRT,LAX,2024-03-22,2024-04-01,1485,38.42,1618.28,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e097b4d5c000080aee912_0%7C243e097b4d5c000080aee912_1%7C209f243e4d660000994713a8_0%7C209f243e4d660000994713a8_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GvY47Me9m3hh1tl8iLocc5KbhBjEiQ6lQIpI8nJmNyhh_C_AOHGpqtLvJDFrUqKnXqTWqbhtucZfrwUaoKbXQtysxaMCuOZVq-2eRN_KROcSn2LmKi5s-hzeYBbrWQtCfcl5KCezTd4V_sM6PxbbOrAXECWyK8mIWY-cHhCzI57kbnqRs4Ue2xRuggOqaaOkIZPeH7SrEQF6uaxtYDAarF96BxOhLUmX1Uhc9vg_tIoJFaYryvcCHki3HYTbANAq8miaWoo6ByDyp-sHETpGbm7jWhHReA-k3AuvyK06dkX_qiircoAZdAsxdYNLSOtK7Ni_P1EU9LIqGkCrCXxSDXlKbCLuesjIxkZ4bW3urYYzqBiXJ0Wx1VuVlaEMzAAiFLjLUeUq0cUcmR3Pnnm3add2E8aHOeOVWtFFpuI-rTE0akuQD2l7HkOM3TN8X1kQnL89SNFs1MtEWcURTG7dlRAspbNv6D5E4onaL_d7adLQbRdKbBeV42tlKe9qdb1I2sIkgIF54_C2YMLTaJv1bwB-nfbVpmylM7sV0C8DIw8E=
LAX,HND,NRT,LAX,2024-03-22,2024-04-01,1509,36.08,1620.57,https://www.kiwi.com/deep?affilid=at527japanmulti&currency=USD&flightsId=243e097b4d5c000080aee912_0%7C243e097b4d5c000080aee912_1%7C209f243e4d66000011ba952f_0%7C209f243e4d66000011ba952f_1&from=LAX&lang=en&passengers=1&to=HND&type2=multicity&booking_token=GV6JQ048EtM1uumBMXu3wlFjdxS8PbH3KVELm-VVflno0alfWVgcuA2mfUL_xlFBE-qkWCXFjDjr4TWaSPjpHJyQHmU-dDnkPL9JNqiSvLXHDKOwYLF9xTqu7T1QoNt-ehsZY2PXgOIHPIfDyGy5asUruwiGXDCvi9-l18XhqOsWzOX0Dzk_B-MG8AhyamMDMft2_rfcPJOxLliPZEH9CWGbICODQF0HiNFWW3FKcUUypA5w_sj2NS-jEuLP9z6cVNAcCS2sNa-HHe2Rj1X2MJTkaQU0b76rbEwg9e2ipsvM-6s0wmWA2jLOJTsPlhpw7eHelv9LlY1g888B-eROFiu8LjI-AfsIWNEu162u2REbKdHL5ZYdRQ0G-CKfFQo9vbYfdA9hqUPmj_2O9njXieC-TBYRSVM1R8-jiACgBeHeRTQgv6xbaUisU4qiBewfjeeXuzTCke1KlSnu6OkpOgZ-YFld_dXUcTOL2SZoNpxrO0mVi1fYL2quXbfk6aQ-bwvcrDBANkerM37_3ZuZhn3ibL9Kc9eRlAUWJwCeIlsBaunay1qs0Ly6T-c04xAUmfYbrD8k3RW7PPlMQbQA9t9_LadAkeCsJH9lTAtXz616_3nUUpWjWR3SOcWOwQ_ee
